imie;nazwisko;plec(KM);ocena;email
Marlena;Kot;K;2;
Karol;Seba;M;2;abc13@wp.pl
Piotr;Cabacki;M;2;abc2@wp.pl
Zbigniew;Pies;M;3;
Dominika;Gaweda;K;3;abc18@gmail.pl
Jolanta;Pies;K;3;abc15@outlook.com
Anna;Adamczyk;K;3;abc6@op.pl
Anna;Adamek;K;3;abc5@op.pl
Olga;Nowak;K;3;abc4@gmail.pl
Mateusz;Babacki;M;3;abc3@op.com
Dariusz;Nowakowski;M;3;abc17@wp.pl
Ola;Olewska;K;4;
Agata;Kowalska;K;4;abc@op.pl
Mariusz;Krzaczek;M;4;
Mariola;Mazur;K;4;abc9@interia.pl
Pawel;Socha;M;4;abc11@gmail.pl
Wiktor;Kowalski;M;4;abc12@gmail.pl
Marlena;Nowak;K;4;abc24@hotmail.com
Kamil;Anders;M;4;abc23@vp.pl
Patryk;Rural;M;4;abc22@vp.pl
Michal;Mak;M;4;abc26@hotmail.com
Karol;Kozidrak;M;4;
Dagmara;Sokal;K;4;abc19@gmail.com
Konrad;Jukatan;M;4;abc21@interia.pl
Marek;Rak;M;5;abc27@op.pl
Edyta;Katar;K;5;abc29@gmail.pl
Jakub;Dudek;M;5;kuba@gmail.com
Bogdan;Cebula;M;5;abc25@hotmail.om
Michal;Kowalski;M;5;abc10@op.pl
Tadeusz;Krzak;M;5;abc8@vp.pl
Monika;Mazur;K;5;abc7@outlook.com
Pawel;Abacki;M;5;abc1@op.pl
